AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MPUTempC,BaroTempC,PressurePa,RelAltM,Us
56,-70,2137,-164,11,-27,38.548,35.900,100629,-940.88,473
68,-76,2137,-172,19,-35,38.559,35.900,100629,-940.88,11173
65,-85,2124,-167,13,-33,38.586,35.900,100629,-940.88,516
78,-74,2147,-176,24,-35,38.577,35.900,100629,-940.88,483
71,-79,2128,-167,10,-31,38.571,35.900,100629,-940.88,477
68,-59,2130,-174,18,-32,38.586,35.900,100629,-940.88,473
81,-71,2131,-164,7,-34,38.574,35.900,100632,-941.14,11177
87,-74,2143,-173,19,-32,38.601,35.900,100632,-941.14,516
73,-93,2128,-166,14,-33,38.559,35.900,100632,-941.14,484
77,-49,2135,-166,18,-34,38.571,35.900,100632,-941.14,477
82,-73,2136,-167,18,-32,38.568,35.900,100632,-941.14,473
83,-69,2128,-168,19,-36,38.542,35.900,100629,-940.88,11173
82,-73,2136,-168,15,-29,38.551,35.900,100629,-940.88,514
75,-61,2134,-172,19,-30,38.577,35.900,100629,-940.88,483
80,-79,2138,-167,12,-30,38.545,35.900,100629,-940.88,477
80,-79,2127,-171,20,-30,38.565,35.900,100629,-940.88,473
82,-81,2126,-169,20,-29,38.539,35.800,100620,-940.12,11177
81,-86,2117,-169,25,-30,38.565,35.800,100620,-940.12,502
75,-91,2122,-171,20,-31,38.565,35.800,100620,-940.12,484
85,-87,2141,-169,19,-30,38.574,35.800,100620,-940.12,477
72,-105,2114,-171,18,-31,38.598,35.800,100620,-940.12,473
80,-84,2126,-168,18,-31,38.542,35.900,100632,-941.14,11173
87,-91,2148,-170,18,-29,38.598,35.900,100632,-941.14,499
69,-92,2136,-167,13,-35,38.589,35.900,100632,-941.14,483
75,-75,2137,-169,18,-33,38.592,35.900,100632,-941.14,477
84,-73,2132,-168,19,-32,38.568,35.900,100632,-941.14,473
86,-72,2133,-166,15,-34,38.598,35.800,100620,-940.12,11177
89,-75,2136,-167,14,-37,38.580,35.800,100620,-940.12,502
84,-63,2125,-167,14,-30,38.551,35.800,100620,-940.12,484
78,-59,2117,-167,15,-34,38.565,35.800,100620,-940.12,477
81,-71,2134,-172,19,-31,38.548,35.800,100620,-940.12,473
76,-59,2135,-168,16,-29,38.568,35.900,100632,-941.14,11173
77,-72,2128,-170,18,-31,38.565,35.900,100632,-941.14,515
81,-54,2137,-165,19,-29,38.589,35.900,100632,-941.14,482
84,-78,2116,-172,19,-30,38.568,35.900,100632,-941.14,477
80,-87,2123,-169,18,-31,38.556,35.900,100632,-941.14,473
83,-78,2125,-171,19,-31,38.548,35.800,100623,-940.37,11176
69,-72,2127,-168,17,-30,38.580,35.800,100623,-940.37,517
77,-81,2107,-170,19,-33,38.554,35.800,100623,-940.37,484
78,-94,2123,-170,19,-31,38.571,35.800,100623,-940.37,477
83,-95,2119,-170,20,-32,38.568,35.800,100623,-940.37,473
76,-89,2105,-169,16,-30,38.574,35.800,100629,-940.88,11172
60,-93,2125,-167,14,-30,38.562,35.800,100629,-940.88,514
75,-79,2142,-171,17,-33,38.530,35.800,100629,-940.88,483
71,-106,2134,-168,22,-30,38.571,35.800,100629,-940.88,477
86,-88,2116,-168,16,-32,38.542,35.800,100629,-940.88,473
76,-80,2135,-166,19,-34,38.542,35.800,100623,-940.37,11177
86,-80,2127,-167,17,-29,38.583,35.800,100623,-940.37,514
83,-92,2155,-169,17,-31,38.536,35.800,100623,-940.37,484
72,-81,2137,-170,19,-30,38.565,35.800,100623,-940.37,477
83,-84,2131,-168,13,-33,38.571,35.800,100623,-940.37,473
68,-78,2146,-170,20,-31,38.574,35.800,100620,-940.12,11172
77,-80,2133,-167,16,-34,38.574,35.800,100620,-940.12,500
79,-87,2128,-169,16,-33,38.571,35.800,100620,-940.12,482
87,-71,2114,-169,16,-33,38.542,35.800,100620,-940.12,477
63,-74,2130,-173,22,-32,38.518,35.800,100620,-940.12,473
75,-80,2128,-168,16,-30,38.559,35.800,100626,-940.63,11177
55,-78,2108,-170,21,-32,38.527,35.800,100626,-940.63,503
75,-82,2108,-166,10,-33,38.554,35.800,100626,-940.63,484
76,-77,2126,-174,23,-37,38.565,35.800,100626,-940.63,477
61,-80,2148,-169,20,-33,38.589,35.800,100626,-940.63,473
76,-88,2127,-172,20,-34,38.580,35.800,100629,-940.88,11173
77,-67,2129,-170,16,-31,38.559,35.800,100629,-940.88,499
77,-79,2117,-170,18,-31,38.586,35.800,100629,-940.88,483
74,-72,2129,-172,16,-37,38.592,35.800,100629,-940.88,477
81,-61,2128,-170,16,-35,38.559,35.800,100629,-940.88,473
88,-73,2126,-167,16,-37,38.568,35.800,100620,-940.12,11177
80,-69,2108,-169,17,-34,38.577,35.800,100620,-940.12,501
77,-91,2130,-169,16,-36,38.556,35.800,100620,-940.12,484
77,-75,2133,-170,21,-36,38.551,35.800,100620,-940.12,477
74,-64,2151,-168,12,-34,38.533,35.800,100620,-940.12,473
72,-77,2134,-168,20,-32,38.542,35.800,100629,-940.88,11173
75,-88,2108,-167,13,-33,38.609,35.800,100629,-940.88,499
83,-76,2119,-170,21,-32,38.559,35.800,100629,-940.88,483
86,-86,2103,-166,18,-33,38.545,35.800,100629,-940.88,477
83,-86,2132,-170,19,-35,38.533,35.800,100629,-940.88,473
81,-78,2127,-169,17,-33,38.556,35.800,100623,-940.37,11177
84,-87,2102,-170,17,-33,38.554,35.800,100623,-940.37,517
77,-83,2145,-171,20,-33,38.589,35.800,100623,-940.37,484
71,-89,2125,-172,21,-35,38.542,35.800,100623,-940.37,476
76,-70,2133,-167,16,-29,38.604,35.800,100623,-940.37,473
72,-69,2127,-171,18,-31,38.554,35.800,100626,-940.63,11173
74,-80,2152,-170,14,-31,38.598,35.800,100626,-940.63,514
56,-87,2146,-172,24,-32,38.583,35.800,100626,-940.63,483
75,-82,2141,-170,21,-29,38.574,35.800,100626,-940.63,477
84,-74,2117,-168,22,-27,38.559,35.800,100626,-940.63,473
62,-75,2146,-174,19,-30,38.551,35.800,100620,-940.12,11177
86,-68,2134,-165,15,-29,38.554,35.800,100620,-940.12,515
68,-85,2133,-172,22,-31,38.548,35.800,100620,-940.12,484
81,-77,2126,-168,17,-29,38.586,35.800,100620,-940.12,477
87,-75,2146,-169,18,-35,38.556,35.800,100620,-940.12,473
81,-74,2141,-169,19,-32,38.536,35.800,100623,-940.37,11172
89,-74,2149,-172,24,-35,38.551,35.800,100623,-940.37,495
84,-80,2125,-171,20,-33,38.577,35.800,100623,-940.37,483
70,-81,2112,-168,16,-34,38.548,35.800,100623,-940.37,477
75,-76,2120,-170,22,-36,38.556,35.800,100623,-940.37,473
81,-73,2132,-173,19,-33,38.592,35.800,100626,-940.63,11177
90,-82,2133,-167,16,-34,38.559,35.800,100626,-940.63,500
64,-70,2135,-172,23,-39,38.565,35.800,100626,-940.63,484
66,-83,2111,-167,18,-34,38.565,35.800,100626,-940.63,477
82,-96,2143,-172,18,-32,38.524,35.800,100626,-940.63,473
64,-72,2114,-169,19,-33,38.542,35.800,100623,-940.37,11172
84,-76,2117,-167,14,-33,38.568,35.800,100623,-940.37,513
82,-77,2098,-167,19,-38,38.574,35.800,100623,-940.37,483
70,-78,2141,-165,13,-36,38.545,35.800,100623,-940.37,477
75,-81,2099,-170,19,-34,38.586,35.800,100623,-940.37,473
76,-85,2135,-164,15,-37,38.598,35.800,100623,-940.37,11177
88,-87,2153,-172,24,-36,38.595,35.800,100623,-940.37,505
89,-92,2130,-163,11,-30,38.568,35.800,100623,-940.37,484
73,-87,2120,-169,24,-33,38.559,35.800,100623,-940.37,477
76,-87,2139,-168,18,-34,38.554,35.800,100623,-940.37,473
86,-71,2132,-167,18,-30,38.586,35.800,100620,-940.12,11173
74,-72,2120,-166,18,-31,38.580,35.800,100620,-940.12,513
74,-89,2111,-169,23,-33,38.580,35.800,100620,-940.12,483
76,-74,2126,-167,19,-33,38.577,35.800,100620,-940.12,477
67,-74,2136,-167,20,-33,38.601,35.800,100620,-940.12,473
73,-67,2153,-167,10,-33,38.556,35.800,100614,-939.60,11177
58,-67,2125,-171,22,-35,38.548,35.800,100614,-939.60,503
70,-68,2158,-167,17,-29,38.574,35.800,100614,-939.60,484
73,-74,2127,-170,20,-32,38.571,35.800,100614,-939.60,477
